Name,Purpose,Country,International Code,Ownership,Flavor Tags,Cultivar/Brand ID,Aroma Profile,Alpha Acid Low,Alpha Acid High,Alpha Acid Avg,Beta Acid Low,Beta Acid High,Beta Acid Avg,Alpha-Beta Ratio Low,Alpha-Beta Ratio High,Alpha-Beta Ratio Avg,Co-Humulone Low,Co-Humulone High,Co-Humulone Avg,Total Oils Low,Total Oils High,Total Oils Avg,Myrcene,Humulene Low,Humulene High,Humulene Avg,Caryophyllene Low,Caryophyllene High,Caryophyllene Avg,Farnesene,All Others Low,All Others High,Myrcene Low,Myrcene High,Myrcene Avg,Farnesene Low,Farnesene High,Farnesene Avg,Hop Storage Index Low,Hop Storage Index High,Co-Humulone,Total Oils,Beta Acid,Caryophyllene,Hop Storage Index Avg,Humulene,PurposeNum,Citrus Aroma,Tropical Fruit Aroma,Stone Fruit Aroma,Berry Aroma,Floral Aroma,Grassy Aroma,Herbal Aroma,Spice Aroma,Resin / Pine Aroma,Flavor Tag alfalfa,Flavor Tag allspice,Flavor Tag almond,Flavor Tag anise,Flavor Tag apple,Flavor Tag apricot,Flavor Tag balsamic,Flavor Tag banana,Flavor Tag berry,Flavor Tag bitter,Flavor Tag black_cherry,Flavor Tag black_currant,Flavor Tag black_pepper,Flavor Tag black_tea,Flavor Tag blackberry,Flavor Tag blossom,Flavor Tag blueberry,Flavor Tag bohemian,Flavor Tag bubble_gum,Flavor Tag bubblegum,Flavor Tag butterscotch,Flavor Tag candied_fruit,Flavor Tag candy,Flavor Tag cannabis,Flavor Tag caramel,Flavor Tag cassis,Flavor Tag cataloupe,Flavor Tag cedar,Flavor Tag chamomile,Flavor Tag cherry,Flavor Tag chilies,Flavor Tag chocolate,Flavor Tag cinnamon,Flavor Tag citrus,Flavor Tag citus,Flavor Tag clean,Flavor Tag clove,Flavor Tag coconut,Flavor Tag coffee,Flavor Tag cognac,Flavor Tag cream,Flavor Tag crisp,Flavor Tag cucumber,Flavor Tag curry,Flavor Tag dank,Flavor Tag dark_fruit,Flavor Tag delicate,Flavor Tag dill,Flavor Tag dried_fruit,Flavor Tag earthy,Flavor Tag elderberry,Flavor Tag elderflower,Flavor Tag eucalyptus,Flavor Tag fennel,Flavor Tag fig,Flavor Tag floral,Flavor Tag fresh,Flavor Tag fruit_punch,Flavor Tag fruity,Flavor Tag garlic,Flavor Tag gazpacho,Flavor Tag geranium,Flavor Tag ginger,Flavor Tag gooseberry,Flavor Tag grapefruit,Flavor Tag grapes,Flavor Tag grass,Flavor Tag grassy,Flavor Tag green,Flavor Tag green_fruit,Flavor Tag green_tea,Flavor Tag guava,Flavor Tag hay,Flavor Tag herbal,Flavor Tag hibiscus,Flavor Tag honey,Flavor Tag honeydew,Flavor Tag honeysuckle,Flavor Tag hoppy,Flavor Tag incense,Flavor Tag jasmine,Flavor Tag juniper,Flavor Tag kiwi,Flavor Tag kumquat,Flavor Tag lavender,Flavor Tag leather,Flavor Tag lemon,Flavor Tag lemongrass,Flavor Tag licorice,Flavor Tag lilac,Flavor Tag lime,Flavor Tag loganberry,Flavor Tag lychee,Flavor Tag magnolia,Flavor Tag mandarin,Flavor Tag mango,Flavor Tag marjoram,Flavor Tag marmalade,Flavor Tag mellow,Flavor Tag melon,Flavor Tag menthol,Flavor Tag mild,Flavor Tag mint,Flavor Tag mojito,Flavor Tag molasses,Flavor Tag musty,Flavor Tag nectar,Flavor Tag nectarine,Flavor Tag neutral,Flavor Tag noble,Flavor Tag nutmeg,Flavor Tag oak,Flavor Tag onion,Flavor Tag orange,Flavor Tag oregano,Flavor Tag papaya,Flavor Tag passion_fruit,Flavor Tag peach,Flavor Tag pear,Flavor Tag pepper,Flavor Tag pine,Flavor Tag pine_resin,Flavor Tag pineapple,Flavor Tag pleasant,Flavor Tag plum,Flavor Tag potpourri,Flavor Tag pungent,Flavor Tag quince,Flavor Tag raspberry,Flavor Tag red_berry,Flavor Tag redberry,Flavor Tag redcurrant,Flavor Tag resin,Flavor Tag rose,Flavor Tag rosemary,Flavor Tag sage,Flavor Tag sandalwood,Flavor Tag sauvignon_blanc,Flavor Tag savory,Flavor Tag slightly_spicy,Flavor Tag smooth,Flavor Tag spearmint,Flavor Tag spice,Flavor Tag spices,Flavor Tag spicy,Flavor Tag stone_fruit,Flavor Tag stonefruit,Flavor Tag straw,Flavor Tag strawberry,Flavor Tag subtle,Flavor Tag sugar,Flavor Tag sweet,Flavor Tag sweet_fruit,Flavor Tag tangerine,Flavor Tag tangy,Flavor Tag tart,Flavor Tag tea,Flavor Tag thyme,Flavor Tag tobacco,Flavor Tag toffee,Flavor Tag troical_fruit,Flavor Tag tropical_fruit,Flavor Tag vanilla,Flavor Tag violet,Flavor Tag watermelon,Flavor Tag whiskey,Flavor Tag white_grape,Flavor Tag white_wine,Flavor Tag wild,Flavor Tag wine,Flavor Tag woody,Flavor Tag yogurt,Flavor Tag zest,PC1,PC2
Kazbek Hop,Aroma,Czech Replublic (CZH),KAZ,,"['spicy', 'lemon']",,"{'Citrus': 3.0, 'Tropical Fruit': 2.0, 'Stone Fruit': 0.0, 'Berry': 0.0, 'Floral': 1.0, 'Grassy': 0.0, 'Herbal': 1.0, 'Spice': 0.0, 'Resin / Pine': 0.0}",5.0,8.0,6.5,4.0,6.0,5.0,1.0,2.0,1.0,35.0,40.0,37.5,0.9,1.8,1.4,0.0,20.0,35.0,27.5,10.0,15.0,12.5,0.0,0.0,30.0,40.0,55.0,47.5,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.386417231597626,16.01127166598736
Premiant Hop,Bittering,Czech Replublic (CZH),PRE,,['neutral'],Sm 73/3060,"{'Citrus': 2.0, 'Tropical Fruit': 4.0, 'Stone Fruit': 4.0, 'Berry': 4.0, 'Floral': 3.0, 'Grassy': 0.0, 'Herbal': 1.0, 'Spice': 3.0, 'Resin / Pine': 0.0}",7.0,9.0,8.0,3.5,6.5,5.0,1.0,3.0,2.0,18.0,23.0,20.5,1.0,2.0,1.5,0.0,20.0,40.0,30.0,8.0,13.0,10.5,0.0,0.0,36.0,35.0,50.0,42.5,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,4.0,4.0,4.0,3.0,0.0,1.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37204506251329,23.289589391761023
Saaz (CZ) Hop,Aroma,Czech Replublic (CZH),SAZ,,"['earthy', 'herbal', 'floral', 'mild', 'noble']",,"{'Citrus': 3.0, 'Tropical Fruit': 0.0, 'Stone Fruit': 0.0, 'Berry': 0.0, 'Floral': 2.0, 'Grassy': 0.0, 'Herbal': 0.0, 'Spice': 4.0, 'Resin / Pine': 4.0}",2.0,5.0,3.5,4.0,8.0,6.0,0.0,1.0,1.0,23.0,26.0,24.5,0.4,1.0,0.7,0.0,15.0,30.0,22.5,6.0,9.0,7.5,0.0,1.0,40.0,25.0,40.0,32.5,14.0,20.0,17.0,50.0,0.45,0.0,0.0,0.0,0.0,0.55,0.0,0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.04432400725386,10.451915554611565
Saaz Late Hop,Aroma,Czech Replublic (CZH),SAL,,"['earthy', 'herbal', 'floral']",4237,"{'Citrus': 2.0, 'Tropical Fruit': 3.0, 'Stone Fruit': 1.0, 'Berry': 1.0, 'Floral': 2.0, 'Grassy': 1.0, 'Herbal': 1.0, 'Spice': 2.0, 'Resin / Pine': 2.0}",3.5,6.0,4.8,4.0,6.5,5.3,1.0,2.0,1.0,20.0,25.0,22.5,0.5,1.0,0.8,0.0,15.0,25.0,20.0,6.0,9.0,7.5,0.0,11.0,39.0,25.0,35.0,30.0,15.0,20.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.637324924873054,-0.009632138403761745
Sládek Hop,Aroma,Czech Replublic (CZH),SLD,,"['noble', 'fruity', 'peach', 'passion_fruit', 'grapefruit']",VÚCH-71,"{'Citrus': 2.0, 'Tropical Fruit': 3.0, 'Stone Fruit': 2.0, 'Berry': 2.0, 'Floral': 3.0, 'Grassy': 0.0, 'Herbal': 2.0, 'Spice': 1.0, 'Resin / Pine': 0.0}",4.5,9.0,6.8,4.0,11.0,7.5,0.0,2.0,1.0,23.0,40.0,31.5,0.8,2.0,1.4,0.0,20.0,40.0,30.0,9.0,14.0,11.5,0.0,0.0,36.0,35.0,50.0,42.5,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,3.0,2.0,2.0,3.0,0.0,2.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6369410601224694,19.968658177460263
Vital Hop,Dual,Czech Replublic (CZH),VIT,,"['plum', 'lavender', 'spicy', 'licorice']",4715,"{'Citrus': 2.0, 'Tropical Fruit': 3.0, 'Stone Fruit': 1.0, 'Berry': 1.0, 'Floral': 1.0, 'Grassy': 1.0, 'Herbal': 1.0, 'Spice': 3.0, 'Resin / Pine': 3.0}",9.0,16.0,12.5,6.0,11.0,8.5,1.0,3.0,2.0,21.0,26.0,23.5,1.1,2.5,1.8,0.0,2.0,5.0,3.5,5.0,8.0,6.5,0.0,24.0,52.0,40.0,60.0,50.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.674923117214345,-23.81465623972758
Aramis Hop,Aroma,France (FR),ARS,™ Hops France,"['green', 'herbal', 'spicy', 'citrus', 'grassy', 'black_pepper', 'floral']",P 05-9,"{'Citrus': 1.0, 'Tropical Fruit': 0.0, 'Stone Fruit': 0.0, 'Berry': 0.0, 'Floral': 0.0, 'Grassy': 0.0, 'Herbal': 3.0, 'Spice': 3.0, 'Resin / Pine': 0.0}",5.5,8.5,7.0,3.0,5.5,4.3,1.0,3.0,2.0,20.0,42.0,31.0,1.2,1.6,1.4,0.0,19.0,22.0,20.5,2.0,8.0,5.0,0.0,25.0,39.0,38.0,41.0,39.5,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5200943875275805,-3.0845810190885166
Barbe Rouge Hop,Aroma,France (FR),BBR,™ Hops France,"['citrus', 'kumquat', 'orange', 'lime', 'redcurrant', 'strawberry', 'raspberry', 'floral', 'berry', 'herbal']",P 09-2,"{'Citrus': 0.0, 'Tropical Fruit': 2.0, 'Stone Fruit': 2.0, 'Berry': 4.0, 'Floral': 4.0, 'Grassy': 0.0, 'Herbal': 2.0, 'Spice': 0.0, 'Resin / Pine': 0.0}",3.8,10.0,6.9,3.3,4.6,4.0,1.0,3.0,2.0,24.0,28.0,26.0,1.1,3.0,2.1,0.0,15.0,25.0,20.0,2.0,4.0,3.0,0.0,7.0,48.0,35.0,60.0,47.5,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,2.0,4.0,4.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.269316961516864,3.698766487478599
Elixir Hop,Aroma,France (FR),EXR,™ Hop France,"['rose', 'cognac', 'leather', 'tobacco', 'citrus', 'tropical_fruit', 'tangerine', 'orange', 'floral', 'sandalwood', 'spicy']",P 13-13,"{'Citrus': 3.0, 'Tropical Fruit': 3.0, 'Stone Fruit': 3.0, 'Berry': 0.0, 'Floral': 3.0, 'Grassy': 1.0, 'Herbal': 1.0, 'Spice': 1.0, 'Resin / Pine': 1.0}",4.6,7.0,5.8,4.5,6.6,5.6,1.0,2.0,1.0,25.0,30.0,27.5,1.8,2.2,2.0,0.0,1.0,2.0,1.5,26.0,27.0,26.5,0.0,0.0,8.0,65.0,75.0,70.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,3.0,3.0,0.0,3.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50.898996172733725,-10.637211674022497
Mistral Hop,Dual,France (FR),MTL,™ Hops France,"['citrus', 'floral', 'melon', 'grapes', 'wine', 'pear', 'passion_fruit', 'kumquat', 'mango']",GS 26,"{'Citrus': 4.0, 'Tropical Fruit': 3.0, 'Stone Fruit': 1.0, 'Berry': 2.0, 'Floral': 3.0, 'Grassy': 1.0, 'Herbal': 1.0, 'Spice': 1.0, 'Resin / Pine': 0.0}",6.5,8.5,7.5,3.1,3.8,3.5,2.0,3.0,2.0,29.0,39.0,34.0,1.0,1.5,1.3,0.0,9.0,13.0,11.0,3.0,4.0,3.5,0.0,14.0,27.0,59.0,65.0,62.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,39.91765961189075,-10.458054694931251
Strisselspalt Hop,Aroma,France (FR),FSP,,"['spicy', 'floral', 'citrus', 'herbal']",,"{'Citrus': 1.0, 'Tropical Fruit': 1.0, 'Stone Fruit': 0.0, 'Berry': 0.0, 'Floral': 3.0, 'Grassy': 2.0, 'Herbal': 3.0, 'Spice': 1.0, 'Resin / Pine': 2.0}",1.0,4.0,2.5,3.0,6.0,4.5,0.0,1.0,1.0,20.0,27.0,23.5,0.6,0.8,0.7,0.0,13.0,21.0,17.0,8.0,10.0,9.0,0.0,16.0,44.0,35.0,52.0,43.5,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,3.0,2.0,3.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.004936953175294,-0.5431221576291987
Tardif de Bourgogne Hop,Aroma,France (FR),TDB,,"['floral', 'redberry', 'green_tea', 'noble', 'incense', 'pine', 'rose', 'lavender']",,"{'Citrus': 0.0, 'Tropical Fruit': 0.0, 'Stone Fruit': 0.0, 'Berry': 1.0, 'Floral': 4.0, 'Grassy': 0.0, 'Herbal': 2.0, 'Spice': 2.0, 'Resin / Pine': 1.0}",2.2,5.3,3.8,3.1,5.8,4.5,0.0,2.0,1.0,20.0,20.0,0.0,0.4,0.9,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70.00554828114005,-40.816844989995694
Triskel Hop,Aroma,France (FR),TKL,™ Hops France,"['floral', 'sweet_fruit', 'caramel', 'fruity', 'citrus']",P 09-18 ,"{'Citrus': 2.0, 'Tropical Fruit': 1.0, 'Stone Fruit': 1.0, 'Berry': 0.0, 'Floral': 2.0, 'Grassy': 1.0, 'Herbal': 2.0, 'Spice': 1.0, 'Resin / Pine': 2.0}",3.0,9.0,6.0,4.0,5.5,4.8,1.0,2.0,1.0,20.0,23.0,21.5,1.2,2.0,1.6,0.0,10.0,16.0,13.0,2.0,3.0,2.5,0.0,19.0,33.0,55.0,61.0,58.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47507295639133,-5.211884559989893
Akoya Hop,Aroma,Germany (GER),AKO,™ Hopsteiner,"['tea', 'spicy', 'green_fruit', 'pepper']",#99/268,"{'Citrus': 3.0, 'Tropical Fruit': 1.0, 'Stone Fruit': 1.0, 'Berry': 1.0, 'Floral': 2.0, 'Grassy': 0.0, 'Herbal': 2.0, 'Spice': 3.0, 'Resin / Pine': 0.0}",9.0,10.0,9.5,4.0,5.0,4.5,2.0,3.0,2.0,27.0,30.0,28.5,1.5,2.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65.75375720921689,-47.04429527320219
Aurum Hop,Aroma,Germany (GER),AUR,,"['spicy', 'fruity', 'floral', 'mild', 'herbal', 'earthy', 'citrus', 'noble']",96/1/24,"{'Citrus': 1.0, 'Tropical Fruit': 0.0, 'Stone Fruit': 0.0, 'Berry': 0.0, 'Floral': 1.0, 'Grassy': 1.0, 'Herbal': 2.0, 'Spice': 1.0, 'Resin / Pine': 0.0}",3.5,5.7,4.6,3.1,3.1,0.0,0.0,0.0,0.0,20.0,23.0,21.5,0.5,1.7,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68.14684524966584,-43.75662085481
